net_name	config_key	filename	clustering_score	total_number_edges	edge_overlap	net_size	overlap_percent	reverse_overlap_percent	dataset	config_dir	n_clusters
net_133_10773	netmap_config_1	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_1	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_10	clustering_score_leiden.json		82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_10	clustering_score_leiden.json		82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_2	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_2	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_3	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_3	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_4	clustering_score_leiden.json		82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_4	clustering_score_leiden.json		82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_5	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_5	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_6	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_6	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_7	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_7	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_8	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_8	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_config_9	clustering_score_leiden.json		82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_config_9	clustering_score_leiden.json		82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_ensemble_zinb_mean	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_ensemble_zinb_mean	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	82369	201	201	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	82369	164	164	1.0	1.0	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_133_10773	scgenerai_config	clustering_score_leiden.json		41041	90	201	0.44776119402985076	0.44776119402985076	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_82_10152	scgenerai_config	clustering_score_leiden.json		41041	121	164	0.7378048780487805	0.7378048780487805	net_133_10773_net_82_10152_net_72_10551	config_easy	2
net_51_10906	netmap_config_1	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_1	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_10	clustering_score_leiden.json		43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_10	clustering_score_leiden.json		43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_2	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_2	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_3	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_3	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_4	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_4	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_5	clustering_score_leiden.json		43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_5	clustering_score_leiden.json		43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_6	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_6	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_7	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_7	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
