	cluster	source	jaccard_score	size_a	size_b	threshold	top_regulons	comparison	file_a	file_b
81	pDC	HLA-DQB1	0.5384615384615384	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
82	b_cells	HLA-DQA1	0.4634146341463415	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
83	DC	HLA-DPB1	0.5384615384615384	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
84	cd4+_tcells	VOPP1	0.6216216216216216	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
85	DC	HLA-DPA1	0.5384615384615384	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
86	b_cells	HLA-DRB1	0.6216216216216216	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
87	b_cells	HLA-DQB1	0.42857142857142855	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
88	DC	HLA-DQB1	0.42857142857142855	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
89	pDC	HLA-DQA1	0.7142857142857143	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
90	pDC	HLA-DPB1	0.6666666666666666	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
91	nk_cells	SELL	0.36363636363636365	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
92	DC	HLA-DQA1	0.5	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
93	cd4+_tcells	SELL	0.36363636363636365	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
94	cd14-_monocytes	CPVL	0.42857142857142855	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
95	b_cells	HLA-DPB1	0.25	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
96	cd14-_monocytes	HLA-DPB1	0.2	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
97	pDC	HLA-DQB1	0.36363636363636365	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
98	b_cells	HLA-DQB1	0.30434782608695654	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
99	b_cells	HLA-DQA1	0.25	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
100	pDC	HLA-DPB1	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
101	DC	HLA-DPA1	0.2765957446808511	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
102	nk_cells	IFITM2	0.25	30	30	30	5	bd-rhap-rep2-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
103	cd4+_tcells	TAGLN2	0.15384615384615385	30	30	30	5	bd-rhap-rep2-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
104	b_cells	HLA-DPB1	0.22448979591836735	30	30	30	5	bd-rhap-rep2-X/regulons_30.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv	10x-rep1-kallisto-cellbender-X/regulons_30.tsv
