percentage_recovered	tp	gs_count	pp	type	grn	net	config	dataset	top_perc
0.0854700854700854	10	117	9496	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.2
0.1025641025641025	12	117	11870	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.25
0.188034188034188	22	117	23695	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.5
0.188034188034188	22	117	23695	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.75
0.188034188034188	22	117	23695	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	87	18	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.001
0.0	0	87	178	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.01
0.1149425287356321	10	87	890	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.05
0.2988505747126437	26	87	1781	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.1
0.4712643678160919	41	87	3562	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.2
0.6436781609195402	56	87	4452	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.25
0.9770114942528736	85	87	8905	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.5
0.9770114942528736	85	87	8923	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.75
0.9770114942528736	85	87	8923	on_target	0	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	117	18	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.001
0.1111111111111111	13	117	178	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.01
0.4444444444444444	52	117	890	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.05
0.5897435897435898	69	117	1781	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.1
0.7521367521367521	88	117	3562	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.2
0.8034188034188035	94	117	4452	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.25
0.9572649572649572	112	117	8905	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.5
0.9572649572649572	112	117	8923	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.75
0.9572649572649572	112	117	8923	off_target	0	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	87	18	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.001
0.0344827586206896	3	87	178	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.01
0.2183908045977011	19	87	890	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.05
0.3908045977011494	34	87	1781	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.1
0.5402298850574713	47	87	3562	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.2
0.6436781609195402	56	87	4452	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.25
0.942528735632184	82	87	8887	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.5
0.942528735632184	82	87	8887	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.75
0.942528735632184	82	87	8887	off_target	1	0	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	117	18	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.001
0.0256410256410256	3	117	178	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.01
0.0512820512820512	6	117	890	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.05
0.094017094017094	11	117	1781	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.1
0.2051282051282051	24	117	3562	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.2
0.2991452991452991	35	117	4452	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.25
0.905982905982906	106	117	8887	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.5
0.905982905982906	106	117	8887	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	0.75
0.905982905982906	106	117	8887	on_target	1	1	grnboost2_config_2	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	239	67	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.001
0.00836820083682	2	239	671	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.01
0.0418410041841004	10	239	3357	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.05
0.0794979079497908	19	239	6715	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.1
0.1129707112970711	27	239	13430	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.2
0.1631799163179916	39	239	16787	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.25
