,method,clustering_score,training_time,inference_time,dataset
133,GradientShap_16_1_0.1_NegativeBinomialAutoencoder_data,1.0,679.9558473299985,212.03620319599577,net_84_10865_net_88_10937_net_90_11013
134,Deconvolution_16_1_0.1_NegativeBinomialAutoencoder_zeros,1.0,679.9558473299985,104.99594351901032,net_84_10865_net_88_10937_net_90_11013
135,GuidedBackprop_16_1_0.1_ZINBAutoencoder_zeros,1.0,1076.5794081740023,108.34644843400747,net_84_10865_net_88_10937_net_90_11013
136,GradientShap_16_1_0.1_ZINBAutoencoder_zeros,1.0,1076.5794081740023,213.27830138501304,net_84_10865_net_88_10937_net_90_11013
137,GradientShap_16_1_0.1_ZINBAutoencoder_randomize,1.0,1076.5794081740023,211.808431611993,net_84_10865_net_88_10937_net_90_11013
138,GradientShap_16_1_0.1_ZINBAutoencoder_data,1.0,1076.5794081740023,210.50379621201137,net_84_10865_net_88_10937_net_90_11013
139,Deconvolution_16_1_0.1_ZINBAutoencoder_zeros,1.0,1076.5794081740023,104.21431246300926,net_84_10865_net_88_10937_net_90_11013
140,GuidedBackprop_16_2_0_NegativeBinomialAutoencoder_zeros,1.0,494.3842934830027,111.21484488400165,net_84_10865_net_88_10937_net_90_11013
141,GradientShap_16_2_0_NegativeBinomialAutoencoder_zeros,1.0,494.3842934830027,213.99325078299444,net_84_10865_net_88_10937_net_90_11013
142,GradientShap_16_2_0_NegativeBinomialAutoencoder_randomize,1.0,494.3842934830027,211.13071263200254,net_84_10865_net_88_10937_net_90_11013
143,GradientShap_16_2_0_NegativeBinomialAutoencoder_data,1.0,494.3842934830027,210.70608688899665,net_84_10865_net_88_10937_net_90_11013
144,Deconvolution_16_2_0_NegativeBinomialAutoencoder_zeros,1.0,494.3842934830027,108.71845304399903,net_84_10865_net_88_10937_net_90_11013
145,GuidedBackprop_16_2_0_ZINBAutoencoder_zeros,1.0,753.6981418420037,111.56295436499931,net_84_10865_net_88_10937_net_90_11013
146,GradientShap_16_2_0_ZINBAutoencoder_zeros,1.0,753.6981418420037,212.72130212601041,net_84_10865_net_88_10937_net_90_11013
147,GradientShap_16_2_0_ZINBAutoencoder_randomize,1.0,753.6981418420037,211.65763632899325,net_84_10865_net_88_10937_net_90_11013
148,GradientShap_16_2_0_ZINBAutoencoder_data,1.0,753.6981418420037,212.91813453000213,net_84_10865_net_88_10937_net_90_11013
149,Deconvolution_16_2_0_ZINBAutoencoder_zeros,1.0,753.6981418420037,107.37794619500346,net_84_10865_net_88_10937_net_90_11013
150,GuidedBackprop_16_2_0.1_NegativeBinomialAutoencoder_zeros,1.0,520.210054538009,111.96378468099283,net_84_10865_net_88_10937_net_90_11013
151,GradientShap_16_2_0.1_NegativeBinomialAutoencoder_zeros,1.0,520.210054538009,216.1244733670028,net_84_10865_net_88_10937_net_90_11013
152,GradientShap_16_2_0.1_NegativeBinomialAutoencoder_randomize,1.0,520.210054538009,212.37303793200408,net_84_10865_net_88_10937_net_90_11013
153,GradientShap_16_2_0.1_NegativeBinomialAutoencoder_data,1.0,520.210054538009,211.24489675699442,net_84_10865_net_88_10937_net_90_11013
154,Deconvolution_16_2_0.1_NegativeBinomialAutoencoder_zeros,1.0,520.210054538009,104.11797914000636,net_84_10865_net_88_10937_net_90_11013
155,GuidedBackprop_16_2_0.1_ZINBAutoencoder_zeros,1.0,734.2616972499964,112.70189426999423,net_84_10865_net_88_10937_net_90_11013
156,GradientShap_16_2_0.1_ZINBAutoencoder_zeros,1.0,734.2616972499964,216.13984562500264,net_84_10865_net_88_10937_net_90_11013
157,GradientShap_16_2_0.1_ZINBAutoencoder_randomize,1.0,734.2616972499964,211.9313646780065,net_84_10865_net_88_10937_net_90_11013
158,GradientShap_16_2_0.1_ZINBAutoencoder_data,1.0,734.2616972499964,212.34897181700217,net_84_10865_net_88_10937_net_90_11013
159,Deconvolution_16_2_0.1_ZINBAutoencoder_zeros,1.0,734.2616972499964,106.92936545399425,net_84_10865_net_88_10937_net_90_11013
160,GuidedBackprop_16_3_0_NegativeBinomialAutoencoder_zeros,1.0,635.8996088569984,113.23065968700394,net_84_10865_net_88_10937_net_90_11013
161,GradientShap_16_3_0_NegativeBinomialAutoencoder_zeros,1.0,635.8996088569984,216.65765491999628,net_84_10865_net_88_10937_net_90_11013
162,GradientShap_16_3_0_NegativeBinomialAutoencoder_randomize,1.0,635.8996088569984,212.52838093899481,net_84_10865_net_88_10937_net_90_11013
163,GradientShap_16_3_0_NegativeBinomialAutoencoder_data,1.0,635.8996088569984,214.1116047520045,net_84_10865_net_88_10937_net_90_11013
164,Deconvolution_16_3_0_NegativeBinomialAutoencoder_zeros,1.0,635.8996088569984,110.51974065699324,net_84_10865_net_88_10937_net_90_11013
165,GuidedBackprop_16_3_0_ZINBAutoencoder_zeros,0.659,877.1841292809986,112.63644930800365,net_84_10865_net_88_10937_net_90_11013
166,GradientShap_16_3_0_ZINBAutoencoder_zeros,1.0,877.1841292809986,216.46600333500828,net_84_10865_net_88_10937_net_90_11013
167,GradientShap_16_3_0_ZINBAutoencoder_randomize,1.0,877.1841292809986,214.28451467999548,net_84_10865_net_88_10937_net_90_11013
168,GradientShap_16_3_0_ZINBAutoencoder_data,1.0,877.1841292809986,213.61523854800907,net_84_10865_net_88_10937_net_90_11013
169,Deconvolution_16_3_0_ZINBAutoencoder_zeros,1.0,877.1841292809986,109.6856603329943,net_84_10865_net_88_10937_net_90_11013
170,GuidedBackprop_16_3_0.1_NegativeBinomialAutoencoder_zeros,1.0,425.9671696830046,115.33595169099863,net_84_10865_net_88_10937_net_90_11013
171,GradientShap_16_3_0.1_NegativeBinomialAutoencoder_zeros,1.0,425.9671696830046,215.1901846779947,net_84_10865_net_88_10937_net_90_11013
172,GradientShap_16_3_0.1_NegativeBinomialAutoencoder_randomize,1.0,425.9671696830046,219.22674238499894,net_84_10865_net_88_10937_net_90_11013
173,GradientShap_16_3_0.1_NegativeBinomialAutoencoder_data,1.0,425.9671696830046,230.9956024790008,net_84_10865_net_88_10937_net_90_11013
174,Deconvolution_16_3_0.1_NegativeBinomialAutoencoder_zeros,1.0,425.9671696830046,114.85665010700177,net_84_10865_net_88_10937_net_90_11013
175,GuidedBackprop_16_3_0.1_ZINBAutoencoder_zeros,1.0,490.9115168279968,113.09197109199886,net_84_10865_net_88_10937_net_90_11013
176,GradientShap_16_3_0.1_ZINBAutoencoder_zeros,1.0,490.9115168279968,224.64230526699976,net_84_10865_net_88_10937_net_90_11013
